,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Chatham,41.74,-87.61167,Garrett Popcorn Shops,41.73653542012154,-87.60582914678206,Snack Place
1,Chatham,41.74,-87.61167,Red Peppers,41.73660916362793,-87.61324808537016,Lounge
2,Chatham,41.74,-87.61167,Dat Donut,41.74411303511134,-87.6048155946986,Donut Shop
3,Chatham,41.74,-87.61167,Dunkin',41.73674056104464,-87.61256230679408,Donut Shop
4,Chatham,41.74,-87.61167,Licorice,41.73652480217359,-87.60936098358064,Bar
5,Chatham,41.74,-87.61167,Walgreens,41.7381383,-87.6055569,Pharmacy
6,Chatham,41.74,-87.61167,Uncle Johns Barbeque,41.74420258699965,-87.60491536281985,BBQ Joint
7,Chatham,41.74,-87.61167,Mather's More than a Café,41.74354813240095,-87.62308852253378,Café
8,Chatham,41.74,-87.61167,City Life Cocktail Lounge,41.7441364757717,-87.60687643461253,Lounge
9,Chatham,41.74,-87.61167,Kam's Chop Suey,41.74333,-87.623933,Chinese Restaurant
10,Chatham,41.74,-87.61167,Tropical Island Delight,41.75112543080718,-87.6104411141729,African Restaurant
11,Chatham,41.74,-87.61167,Foot Locker,41.736977335115846,-87.60452315211296,Shoe Store
12,Chatham,41.74,-87.61167,Dukes Lounge,41.750991493055956,-87.62032869576804,Bar
13,Chatham,41.74,-87.61167,Subway,41.73691522509416,-87.60599702058244,Sandwich Place
14,Chatham,41.74,-87.61167,Dollar Tree,41.739692,-87.604546,Discount Store
15,Chatham,41.74,-87.61167,Nike Factory Store,41.7399593,-87.6053736,Sporting Goods Shop
16,Chatham,41.74,-87.61167,Yassa African Restaurant,41.751258333543134,-87.60704995847509,African Restaurant
17,Chatham,41.74,-87.61167,Uncle Joe's Tropical Dining,41.745351,-87.6050841,Caribbean Restaurant
18,Chatham,41.74,-87.61167,Captain Hooks Fish & Chicken,41.73881356145254,-87.60535658464372,Fast Food Restaurant
19,Chatham,41.74,-87.61167,Sistar Beauty Supply,41.73318206185718,-87.62606919576885,Health & Beauty Service
20,Chatham,41.74,-87.61167,Steak Hoagy Sweet and More,41.74597930908203,-87.6053695678711,Sandwich Place
21,Chatham,41.74,-87.61167,The Children's Place,41.737084,-87.605871,Kids Store
22,Chatham,41.74,-87.61167,Chase Bank,41.737167,-87.605899,Bank
23,Chatham,41.74,-87.61167,Harold's Chicken Shack,41.750917786762905,-87.60481881284288,Fried Chicken Joint
24,Chatham,41.74,-87.61167,Chipotle Mexican Grill,41.73579185673286,-87.6259547973151,Fast Food Restaurant
25,Chatham,41.74,-87.61167,Redbox,41.737961999999996,-87.605523,Video Store
26,Chatham,41.74,-87.61167,Pepe's Mexican Restaurant,41.74349950079808,-87.60468778135156,Mexican Restaurant
27,Chatham,41.74,-87.61167,SUBWAY,41.74328467807974,-87.62417905116274,Sandwich Place
28,Chatham,41.74,-87.61167,Tip Top Nails,41.75111005052947,-87.60662786401811,Spa
29,Chatham,41.74,-87.61167,Dock's Fish,41.73657341880414,-87.62671112932779,Seafood Restaurant
30,Chatham,41.74,-87.61167,Starbucks,41.73647084132976,-87.62873432573538,Coffee Shop
31,Chatham,41.74,-87.61167,GameStop,41.738873999999996,-87.605588,Video Game Store
32,Chatham,41.74,-87.61167,Dollar Tree,41.73725019672919,-87.62855029152016,Discount Store
33,Chatham,41.74,-87.61167,Lane Bryant,41.737084,-87.605871,Women's Store
34,Chatham,41.74,-87.61167,GNC,41.7358039421226,-87.62606863223505,Supplement Shop
35,Chatham,41.74,-87.61167,The Rink,41.73719240137301,-87.59659326608738,Athletics & Sports
36,Chatham,41.74,-87.61167,Grand Chinese Kitchen,41.73642103701242,-87.62726666144185,Chinese Restaurant
37,Chatham,41.74,-87.61167,Red Snapper,41.744112,-87.61435,Fast Food Restaurant
38,Chatham,41.74,-87.61167,Pepe's Mexican Restaurant,41.750889642351176,-87.62011481566915,Mexican Restaurant
39,Chatham,41.74,-87.61167,Sizzlin Skillets,41.737407,-87.604502,American Restaurant
40,Chatham,41.74,-87.61167,Family Dollar,41.73669034865703,-87.61500640631137,Discount Store
41,Chatham,41.74,-87.61167,Baskin-Robbins,41.736760031397885,-87.6125880509262,Ice Cream Shop
42,Chatham,41.74,-87.61167,See Thru Chinese Kitchen,41.74230210397732,-87.60473017607598,Chinese Restaurant
43,Chatham,41.74,-87.61167,Subway,41.751553516491555,-87.60542732329861,Sandwich Place
44,Chatham,41.74,-87.61167,Family Dollar,41.751260153724914,-87.6123244435371,Discount Store
