Geology,Income,Lat,Long
Washington Heights,0,41.70383,-87.65367
Greater Grand Crossing,26515,41.7600,-87.6100
East Side,43421,41.7000,-87.5600
Forest Glen,101559,41.983,-87.750
Ashburn,63573,41.7500,-87.7100
North Center,115756,41.950,-87.6800
Montclare,43015,41.9300,-87.800
Lakeview,89276,41.94350,-87.65417
Avalon Park,41531,41.750,-87.5900
Riverdale,13518,41.6600,-87.6100
Near South Side,100720,41.85778,-87.62389
Rogers Park,37223,42.0100,-87.6700
South Chicago,28504,41.7400,-87.550
Humboldt Park,0,41.8800,-87.700
West Elsdon,55380,41.7900,-87.7200
Woodlawn,26415,41.7800,-87.600
West Lawn,50384,41.7700,-87.7200
Near West Side,83575,41.8700,-87.6700
O'Hare,49295,42.0000,-87.9200
West Ridge,52039,42.000,-87.6900
Grand Boulevard,32348,41.8100,-87.6200
Douglas,31509,41.83472,-87.62056
Chicago Lawn,33122,41.7700,-87.6900
West Pullman,33898,41.6800,-87.6300
West Englewood,27399,41.77583,-87.66417
Fuller Park,22920,41.8100,-87.6267
Portage Park,66309,41.950,-87.7600
Clearing,60624,41.7800,-87.7600
"Lower West Side
Pilsen",45204,41.850,-87.6600
Gage Park,41182,41.7900,-87.6900
South Deering,35056,41.7100,-87.5600
Englewood,21275,41.78000,-87.64500
Uptown,51889,41.9700,-87.6600
Garfield Ridge,0,41.8167,-87.7600
Armour Square,27464,41.8333,-87.6333
Archer Heights,44109,41.8100,-87.7300
Near North Side,99732,41.900,-87.6300
West Town,96499,41.900,-87.6800
Avondale,60000,41.9400,-87.7100
Dunning,59737,41.950,-87.8100
Lincoln Square,73621,41.9700,-87.6900
East Garfield Park,21482,41.8800,-87.700
Chatham,32222,41.74000,-87.61167
Jefferson Park,76054,41.9800,-87.7700
Beverly,98416,41.7100,-87.6800
Mount Greenwood,89536,41.7000,-87.7100
Belmont Cragin,50767,41.9300,-87.7600
Logan Square,75333,41.9283,-87.7067
Roseland,37242,41.7100,-87.6200
Brighton Park,41176,41.8200,-87.7000
Oakland,28436,41.8200,-87.6000
Morgan Park,60747,41.6900,-87.6700
Edgewater,53183,41.9900,-87.6600
Hyde Park,54140,41.800,-87.5900
Burnside,23632,41.7300,-87.600
Edison Park,86300,42.0100,-87.8100
Irving Park,64598,41.950,-87.7300
Bridgeport,50580,41.83750,-87.64750
Washington Park,27458,41.7900,-87.6200
Norwood Park,71282,41.9800,-87.8000
North Lawndale,26781,41.8600,-87.7100
"South Lawndale
Little Village",30701,41.8500,-87.7100
Lincoln Park,108875,41.9200,-87.650
"New City
Back of the Yards/Canaryville",33227,41.8100,-87.6600
McKinley Park,46112,41.830,-87.670
Hermosa,39157,41.9200,-87.7300
Pullman,36728,41.7100,-87.6200
The Loop,107246,41.88194,-87.62778
Auburn Gresham,29389,41.7400,-87.6600
Hegewisch,50338,41.6600,-87.5500
Kenwood,49161,41.8100,-87.6000
North Park,54828,41.9500,-87.6800
Calumet Heights,49923,41.72833,-87.57972
West Garfield Park,23947,41.8800,-87.7300
Albany Park,59883,41.9700,-87.7200
Austin,31634,41.900,-87.7600
South Shore,26425,41.7600,-87.5800
