Geography,Total Population,Poverty,Forclosures,Mortgages
Albany Park,49806,8068.572,114,2333
Archer Heights,13726,2058.9,58,495
Armour Square,13538,4440.463999999999,8,473
Ashburn,43356,5549.568,618,2785
Auburn Gresham,45909,11660.886,764,2315
Austin,93727,25774.925000000003,930,4058
Avalon Park,9713,2068.869,239,728
Avondale,38118,5870.172,105,2542
Belmont Cragin,78601,12890.563999999998,319,2997
Beverly,19791,989.5500000000001,193,1994
Bridgeport,34540,5284.62,73,1840
Brighton Park,44156,9979.256,153,1081
Burnside,2006,314.942,40,145
Calumet Heights,12815,1870.9899999999998,284,876
Chatham,30967,8268.189,470,1534
Chicago Lawn,51352,12067.72,442,1868
Clearing,24976,2297.792,175,1902
Douglas,21353,8647.965,78,578
Dunning,43445,2997.7050000000004,241,3479
East Garfield Park,18940,8219.96,134,780
East Side,23723,4649.7080000000005,138,792
Edgewater,57649,8532.052000000001,189,3912
Edison Park,11264,394.24,37,1292
Englewood,22921,9351.768,340,636
Forest Glen,19384,930.432,67,2043
Fuller Park,2330,747.9300000000001,22,72
Gage Park,37478,6633.606,150,855
Garfield Ridge,37207,3162.5950000000003,241,2826
Grand Boulevard,22643,6543.826999999999,212,1400
Greater Grand Crossing,30149,10280.809000000001,447,1388
Hegewisch,9089,1663.287,55,533
Hermosa,23481,3921.3269999999998,98,854
Humboldt Park,55364,14007.092,331,1944
Hyde Park,27482,6101.004,92,1153
Irving Park,53530,4871.23,149,4097
Jefferson Park,27503,2640.288,110,2137
Kenwood,17954,3770.3399999999997,103,951
Lake View,101365,8109.2,179,10145
Lincoln Park,69465,6043.455,143,7523
Lincoln Square,42103,3410.3430000000003,68,3186
Logan Square,73277,9306.179,160,6466
Loop,38655,4599.945000000001,111,3079
Lower West Side,33203,5710.915999999999,76,1397
McKinley Park,15177,2777.391,38,631
Montclare,14267,1697.7730000000001,80,810
Morgan Park,21050,2420.75,312,1665
Mount Greenwood,19190,978.6899999999999,110,2006
Near North Side,93318,8865.210000000001,281,9744
Near South Side,24729,1854.675,90,3711
Near West Side,63170,13518.38,160,6140
New City,39508,11259.779999999999,233,1043
North Center,35543,1670.521,77,4315
North Lawndale,32073,12187.74,294,1094
North Park,18914,2761.444,48,1005
Norwood Park,37924,2616.7560000000003,155,3846
Oakland,7227,1785.069,36,230
O'Hare,12861,1479.015,35,610
Portage Park,64605,6008.265000000001,220,4312
Pullman,6840,1299.6,115,310
Riverdale,7359,3892.911,23,18
Rogers Park,55475,14146.125,169,2788
Roseland,39162,9163.908,770,1869
South Chicago,29936,8412.016000000001,361,1009
South Deering,15475,4781.775,176,452
South Lawndale,72157,20203.960000000003,149,1111
South Shore,50265,16587.45,442,1747
Uptown,58979,12798.443,135,4257
Washington Heights,26742,5749.53,577,1749
Washington Park,10969,4277.91,73,386
West Elsdon,19126,1874.3480000000002,115,779
West Englewood,26346,8615.142,425,681
West Garfield Park,16415,6664.490000000001,137,547
West Lawn,31886,4336.496,253,1506
West Pullman,27028,6189.411999999999,465,1149
West Ridge,78466,16948.656000000003,208,3554
West Town,83757,8961.999,185,10002
Woodlawn,24844,8248.208,221,1194
