,Neighborhood,V:1,V:2,V:3,V:4,V:5,V:6,V:7,V:8,V:9,V:10
0,Albany Park,Pizza Place,Asian Restaurant,Coffee Shop,Park,Supermarket,Grocery Store,Mobile Phone Shop,Middle Eastern Restaurant,Mexican Restaurant,Bakery
1,Archer Heights,Mexican Restaurant,Sandwich Place,Mobile Phone Shop,Bank,Fast Food Restaurant,Storage Facility,Bar,Cosmetics Shop,Grocery Store,Discount Store
2,Armour Square,Chinese Restaurant,Pizza Place,Bar,Coffee Shop,Hot Dog Joint,Mexican Restaurant,Bakery,Grocery Store,Shipping Store,Sandwich Place
3,Ashburn,Fast Food Restaurant,Park,Bakery,Ice Cream Shop,Seafood Restaurant,Liquor Store,Furniture / Home Store,Bus Station,Gas Station,Shop & Service
4,Auburn Gresham,Fast Food Restaurant,Seafood Restaurant,Discount Store,Park,Pharmacy,Lounge,Sandwich Place,Southern / Soul Food Restaurant,Bar,American Restaurant
5,Austin,Discount Store,Park,Fast Food Restaurant,Grocery Store,Sandwich Place,Mexican Restaurant,Clothing Store,Gym / Fitness Center,Convenience Store,Donut Shop
6,Avalon Park,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Chinese Restaurant,Bank,Supermarket,BBQ Joint,Caribbean Restaurant,Grocery Store,Discount Store
7,Avondale,Coffee Shop,Bar,Mexican Restaurant,Grocery Store,Café,Italian Restaurant,Park,New American Restaurant,Discount Store,Food Truck
8,Belmont Cragin,Mexican Restaurant,Donut Shop,Sandwich Place,Discount Store,Pharmacy,Pizza Place,Fast Food Restaurant,Bank,Grocery Store,Gas Station
9,Beverly,Sandwich Place,Pizza Place,Bar,Fried Chicken Joint,Cosmetics Shop,Mobile Phone Shop,Fast Food Restaurant,Department Store,Grocery Store,Burger Joint
10,Bridgeport,Chinese Restaurant,Bar,Pizza Place,Mexican Restaurant,Art Gallery,Hot Dog Joint,Grocery Store,Sandwich Place,Park,Bakery
11,Brighton Park,Mexican Restaurant,Donut Shop,Taco Place,Sandwich Place,Fast Food Restaurant,Seafood Restaurant,Video Store,Grocery Store,Gas Station,Liquor Store
12,Burnside,Fast Food Restaurant,Discount Store,Ice Cream Shop,Park,Pharmacy,Fried Chicken Joint,Rental Car Location,Train Station,Chinese Restaurant,Donut Shop
